num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
0,nan,nan,nan,nan,0,0,15,1005,0,1005,0,1005,0,1005,0,1005,False,0,1,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-49,1661947969,1.1798455715179443,1.1798455715179443,1575056,main-desktop,192.168.0.58,1.1798455715179443,0,1,4.5533483028411865,1005,0,1005,0,nan,nan,nan,nan,0,0,[],[],15.559,1005,0,1005,0,49.400000000000006,42.2,[],[]
0,nan,nan,nan,nan,0,0,15,2010,0,2010,0,1005,0,2010,0,2010,False,0,2,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-50,1661947970,1.113389253616333,2.2932348251342773,1575056,main-desktop,192.168.0.58,2.2932348251342773,0,2,4.5533483028411865,2010,0,2010,0,nan,nan,nan,nan,0,0,[],[],17.415,2010,0,2010,0,48.75,42.349999999999994,[],[]
0,nan,nan,nan,nan,0,0,15,3015,0,3015,0,1005,0,3015,0,3015,False,0,3,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-51,1661947971,1.1512806415557861,3.4445154666900635,1575056,main-desktop,192.168.0.58,3.4445154666900635,0,3,4.5533483028411865,3015,0,3015,0,nan,nan,nan,nan,0,0,[],[],20.033,3015,0,3015,0,50.2,42.5,[],[]
0,nan,nan,nan,nan,0,0,15,4020,0,4020,0,1005,0,4020,0,4020,False,0,4,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-52,1661947972,1.1301548480987549,4.574670314788818,1575056,main-desktop,192.168.0.58,4.574670314788818,0,4,4.5533483028411865,4020,0,4020,0,nan,nan,nan,nan,0,0,[],[],16.503,4020,0,4020,0,50.45,42.5,[],[]
0,nan,nan,nan,nan,0,0,15,5025,0,5025,0,1005,0,5025,0,5025,False,0,5,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-53,1661947973,1.1655604839324951,5.7402307987213135,1575056,main-desktop,192.168.0.58,5.7402307987213135,0,5,4.5533483028411865,5025,0,5025,0,nan,nan,nan,nan,0,0,[],[],18.362,5025,0,5025,0,49.2,42.55,[],[]
0,nan,nan,nan,nan,0,0,15,6030,0,6030,0,1005,0,6030,0,6030,False,0,6,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-54,1661947974,1.1241555213928223,6.864386320114136,1575056,main-desktop,192.168.0.58,6.864386320114136,0,6,4.5533483028411865,6030,0,6030,0,nan,nan,nan,nan,0,0,[],[],17.944,6030,0,6030,0,46.4,42.6,[],[]
0,nan,nan,nan,nan,0,0,15,7035,0,7035,0,1005,0,7035,0,7035,False,0,7,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-56,1661947976,1.143237590789795,8.00762391090393,1575056,main-desktop,192.168.0.58,8.00762391090393,0,7,4.5533483028411865,7035,0,7035,0,nan,nan,nan,nan,0,0,[],[],16.582,7035,0,7035,0,49.4,42.650000000000006,[],[]
0,4.958787761658714,0.0,0.3479031609804366,500.0,15,0,15,8040,0,8040,0,1005,0,8040,0,8040,False,15,8,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-57,1661947977,1.1371450424194336,9.144768953323364,1575056,main-desktop,192.168.0.58,9.144768953323364,0,8,4.5533483028411865,8040,0,8040,0,4.958787761658714,0.0,0.3479031609804366,500.0,15,0,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",17.921,8040,0,8040,0,48.4,42.7,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
0,4.958787761658714,0.0,0.3479031609804366,500.0,0,0,15,9045,0,9045,0,1005,0,9045,0,9045,False,15,9,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-58,1661947978,1.0981230735778809,10.242892026901245,1575056,main-desktop,192.168.0.58,10.242892026901245,0,9,4.5533483028411865,9045,0,9045,0,4.958787761658714,0.0,0.3479031609804366,500.0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",16.127,9045,0,9045,0,51.8,42.8,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
0,4.958787761658714,0.0,0.3479031609804366,500.0,0,0,15,10050,4000,10050,4000,1005,4000,10050,4000,10050,False,15,10,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-12-59,1661947979,1.450615406036377,11.693507432937622,1575056,main-desktop,192.168.0.58,11.693507432937622,0,10,4.5533483028411865,10050,4000,10050,4000,4.958787761658714,0.0,0.3479031609804366,500.0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",38.585,10050,4000,10050,4000,44.849999999999994,42.8,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
0,4.958787761658714,0.0,0.3479031609804366,500.0,0,0,15,11055,71000,11055,71000,1005,67000,11055,67000,11055,False,15,11,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-13-04,1661947984,4.271758794784546,15.965266227722168,1575056,main-desktop,192.168.0.58,15.965266227722168,0,11,4.5533483028411865,11055,71000,11055,71000,4.958787761658714,0.0,0.3479031609804366,500.0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",63.009,11055,71000,11055,71000,22.45,42.96666666666667,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
0,4.958787761658714,0.0,0.3479031609804366,500.0,0,0,15,12060,138000,12060,138000,1005,67000,12060,67000,12060,False,15,12,3637b_00000,b0650598341c4f4bbd51fb7156d480b8,2022-08-31_14-13-08,1661947988,4.3656840324401855,20.330950260162354,1575056,main-desktop,192.168.0.58,20.330950260162354,0,12,4.5533483028411865,12060,138000,12060,138000,4.958787761658714,0.0,0.3479031609804366,500.0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",60.675,12060,138000,12060,138000,20.514285714285716,43.0,"[0.0, 0.0, 0.0, 0.0, 0.02776837159703205, 4.958787761658714, 0.0, 0.22999687533411228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994406116690439]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
